Date,Open,High,Low,Close,Adj Close,Volume
2017-06-18,0.268085,0.289468,0.265078,0.284600,0.284600,232512000
2017-06-19,0.283977,0.296068,0.280233,0.296068,0.296068,164955008
2017-06-20,0.292194,0.339533,0.290147,0.324427,0.324427,793609984
2017-06-21,0.324623,0.327760,0.283614,0.296366,0.296366,358492992
2017-06-22,0.299886,0.305852,0.291519,0.297848,0.297848,194551008
2017-06-23,0.297718,0.320751,0.295551,0.319978,0.319978,177220992
2017-06-24,0.319188,0.327117,0.306487,0.311110,0.311110,313710016
2017-06-25,0.310816,0.311157,0.289148,0.298423,0.298423,158844992
2017-06-26,0.298770,0.301980,0.260819,0.277288,0.277288,280100000
2017-06-27,0.277288,0.278810,0.251052,0.276306,0.276306,186951008
2017-06-28,0.275391,0.281490,0.267840,0.280455,0.280455,126278000
2017-06-29,0.280565,0.280873,0.264175,0.265421,0.265421,89745296
2017-06-30,0.266060,0.269160,0.262242,0.262930,0.262930,67764496
2017-07-01,0.262855,0.263053,0.252966,0.254744,0.254744,53611000
2017-07-02,0.254512,0.259951,0.250944,0.259449,0.259449,54095000
2017-07-03,0.258977,0.262354,0.255666,0.259959,0.259959,60367800
2017-07-04,0.259841,0.262258,0.254387,0.254709,0.254709,56008900
2017-07-05,0.255125,0.261713,0.254275,0.256523,0.256523,73292096
2017-07-06,0.256374,0.257148,0.253303,0.254641,0.254641,43845800
2017-07-07,0.254858,0.255431,0.238892,0.239480,0.239480,88408000
2017-07-08,0.239741,0.239741,0.221769,0.236134,0.236134,124578000
2017-07-09,0.236884,0.248501,0.233416,0.233416,0.233416,82755000
2017-07-10,0.234067,0.234067,0.185418,0.203165,0.203165,119367000
2017-07-11,0.196415,0.203320,0.168265,0.185019,0.185019,271415008
2017-07-12,0.184198,0.205898,0.177162,0.205354,0.205354,153023008
2017-07-13,0.205873,0.230452,0.193357,0.200809,0.200809,216750000
2017-07-14,0.200819,0.201156,0.183369,0.190769,0.190769,97037600
2017-07-15,0.190976,0.191167,0.167118,0.170589,0.170589,131779000
2017-07-16,0.169480,0.172575,0.119770,0.148056,0.148056,257944000
2017-07-17,0.150146,0.179604,0.141425,0.177889,0.177889,312684992
2017-07-18,0.179668,0.195807,0.165966,0.188718,0.188718,295840992
2017-07-19,0.188498,0.188533,0.158188,0.168388,0.168388,147778000
2017-07-20,0.170017,0.192918,0.167718,0.188295,0.188295,183292000
2017-07-21,0.189430,0.190708,0.181098,0.182608,0.182608,104722000
2017-07-22,0.182168,0.195009,0.181447,0.193320,0.193320,83913800
2017-07-23,0.193568,0.204121,0.188722,0.195058,0.195058,195682000
2017-07-24,0.194979,0.195279,0.189835,0.192002,0.192002,56632800
